[2025-08-08 06:14:22,645: INFO: main: Welcome to our custom log]
[2025-08-08 22:48:40,721: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 22:48:40,729: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 22:51:08,955: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 22:51:08,957: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 22:52:25,608: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 22:52:25,618: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 22:53:32,906: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 22:53:32,908: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 22:56:40,408: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 22:56:40,410: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 22:58:59,408: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 22:58:59,409: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 23:04:32,378: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 23:04:32,380: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 23:04:45,106: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 23:04:45,107: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 23:14:38,367: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 23:14:38,375: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 23:14:38,376: INFO: common: created directory at: artifacts]
[2025-08-08 23:14:38,377: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-08 23:14:38,377: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1Yb8UeFjzjBZAV6SxbyjfP5fOJKlcZ5vB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-08 23:19:30,848: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1Yb8UeFjzjBZAV6SxbyjfP5fOJKlcZ5vB/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-08 23:56:39,561: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-08 23:56:39,575: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-08 23:56:39,575: INFO: common: created directory at: artifacts]
[2025-08-08 23:56:39,582: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-08-08 23:56:55,028: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-08-09 00:25:13,752: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-09 00:25:13,755: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-09 00:25:13,757: INFO: common: created directory at: artifacts]
[2025-08-09 00:25:13,758: INFO: common: created directory at: artifacts\training]
[2025-08-09 01:00:40,802: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-09 01:00:40,819: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-09 01:00:40,819: INFO: common: created directory at: artifacts]
[2025-08-09 01:00:40,827: INFO: common: created directory at: artifacts\training]
[2025-08-11 01:41:08,332: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-11 01:41:08,342: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-11 01:41:08,344: INFO: common: created directory at: artifacts]
